Canonical Name,Map Data Name,Match Type,Distance
"Afghanistan","Afghanistan","EXACT",0
"Albania","Albania","EXACT",0
"Algeria","Algeria","EXACT",0
"Andorra","Andorra","EXACT",0
"Angola","Angola","EXACT",0
"Antigua","Antigua and Barb.","PARTIAL",10
"Argentina","Argentina","EXACT",0
"Armenia","Armenia","EXACT",0
"Australia","Australia","EXACT",0
"Austria","Austria","EXACT",0
"Azerbaijan","Azerbaijan","EXACT",0
"Bahamas","Bahamas","EXACT",0
"Bahrain","Bahrain","EXACT",0
"Bangladesh","Bangladesh","EXACT",0
"Barbados","Barbados","EXACT",0
"Belarus","Belarus","EXACT",0
"Belgium","Belgium","EXACT",0
"Belize","Belize","EXACT",0
"Benin","Benin","EXACT",0
"Bhutan","Bhutan","EXACT",0
"Bolivia","Bolivia","EXACT",0
"Bosnia Herzegovina","","NO_MATCH",999
"Botswana","Botswana","EXACT",0
"Brazil","Brazil","EXACT",0
"Brunei","Brunei","EXACT",0
"Bulgaria","Bulgaria","EXACT",0
"Burkina","Burkina Faso","PARTIAL",5
"Burundi","Burundi","EXACT",0
"Cambodia","Cambodia","EXACT",0
"Cameroon","Cameroon","EXACT",0
"Canada","Canada","EXACT",0
"Cape Verde","Cabo Verde","FUZZY",2
"Central African Republic","Central African Rep.","FUZZY",5
"Chad","Chad","EXACT",0
"Chile","Chile","EXACT",0
"China","China","EXACT",0
"Colombia","Colombia","EXACT",0
"Comoros","Comoros","EXACT",0
"Congo","Congo","EXACT",0
"Congo","Congo","EXACT",0
"Costa Rica","Costa Rica","EXACT",0
"Croatia","Croatia","EXACT",0
"Cuba","Cuba","EXACT",0
"Cyprus","Cyprus","EXACT",0
"Czech Republic","Czechia","FUZZY",8
"Denmark","Denmark","EXACT",0
"Djibouti","Djibouti","EXACT",0
"Dominica","Dominica","EXACT",0
"Dominican Republic","Dominica","PARTIAL",10
"East Timor","eSwatini","FUZZY",6
"Ecuador","Ecuador","EXACT",0
"Egypt","Egypt","EXACT",0
"El Salvador","El Salvador","EXACT",0
"Equatorial Guinea","Guinea","PARTIAL",11
"Eritrea","Eritrea","EXACT",0
"Estonia","Estonia","EXACT",0
"Ethiopia","Ethiopia","EXACT",0
"Fiji","Fiji","EXACT",0
"Finland","Finland","EXACT",0
"France","France","EXACT",0
"Gabon","Gabon","EXACT",0
"Gambia","Gambia","EXACT",0
"Georgia","Georgia","EXACT",0
"Germany","Germany","EXACT",0
"Ghana","Ghana","EXACT",0
"Greece","Greece","EXACT",0
"Grenada","Grenada","EXACT",0
"Guatemala","Guatemala","EXACT",0
"Guinea","Guinea","EXACT",0
