Map Data Name,Your Canonical Name,Notes,Fun Fact
Afghanistan,Afghanistan,,Afghanistan ?? - Afghanistan's national cricket team rose from refugee camps to qualify for multiple Cricket World Cups in just two decades.
Albania,Albania,,"Albania ?? - Albania has more bunkers per capita than any other country, with over 750,000 concrete bunkers built during the Cold War."
Algeria,Algeria,,"Algeria ??? - Algeria is the largest country in Africa, and over 90% of it is covered by the Sahara Desert."
American Samoa,Samoa,,"Samoa ?? - Samoa was one of the first places to see the sunrise each day until 2011, when it switched time zones to be among the first to greet each new day on the other side of the International Date Line."
Andorra,Andorra,,"Andorra ?? - Andorra has no army and has been at peace for over 700 years, making it one of the world's most peaceful nations."
Angola,Angola,,"Angola ?? - Angola is one of the world's top diamond producers and the Lulo Rose, one of the largest pink diamonds ever found, was discovered here in 2022."
Anguilla,,,
Antarctica,,,
Antigua and Barb.,Antigua & Barbuda,,Antigua & Barbuda ??? - Antigua boasts 365 beaches—one for every day of the year.
Argentina,Argentina,,"Argentina ?? - Argentina is home to the world's widest avenue, Avenida 9 de Julio in Buenos Aires, which spans about 140 meters across."
Armenia,Armenia,,"Armenia ?? - Armenia is home to the world's oldest known winery, dating back over 6,000 years."
Aruba,,,
Ashmore and Cartier Is.,,,
Australia,Australia,,"Australia ?? - Australia has the world's longest fence, the Dingo Fence, stretching over 5,600 kilometers."
Austria,Austria,,"Austria ?? - Austria has produced more famous classical composers per capita than any other country, including Mozart, Strauss, and Schubert."
Azerbaijan,Azerbaijan,,"Azerbaijan ?? - Azerbaijan is known as the ""Land of Fire"" due to natural gas fires that blaze continuously on hillsides."
Bahamas,Bahamas,,"Bahamas ?? - The Bahamas is home to swimming pigs on Big Major Cay, where feral pigs swim in the crystal-clear waters."
Bahrain,Bahrain,,"Bahrain ?? - Bahrain is home to the ""Tree of Life,"" a 400-year-old mesquite tree thriving alone in the desert with no apparent water source."
Bangladesh,Bangladesh,,"Bangladesh ?? - Bangladesh is home to the Sundarbans, the largest mangrove forest in the world and habitat of the Royal Bengal Tiger."
Barbados,Barbados,,"Barbados ?? - Barbados is the birthplace of rum, and Mount Gay Rum, established in 1703, is the world's oldest rum brand."
Belarus,Belarus,,"Belarus ?? - Belarus is home to Bia?owie?a Forest, one of Europe's last primeval forests and home to the European bison."
Belgium,Belgium,,"Belgium ?? - Belgium produces over 220,000 tons of chocolate per year and has more than 2,000 chocolatiers."
Belize,Belize,,"Belize ??? - Belize is home to the Great Blue Hole, a giant marine sinkhole over 300 meters wide and 125 meters deep."
Benin,Benin,,"Benin ?? - Benin is the birthplace of Voodoo, which is still practiced as an official religion today."
Bermuda,,,
Bhutan,Bhutan,,Bhutan ?? - Bhutan is the only country in the world that measures Gross National Happiness instead of GDP.
Bolivia,Bolivia,,"Bolivia ?? - Bolivia's Salar de Uyuni is the world's largest salt flat, spanning over 10,000 square kilometers and creating mirror-like reflections."
Bosnia and Herz.,Bosnia & Herzegovina,,"Bosnia & Herzegovina ?? - Bosnia has a town called Me?ugorje that reportedly experiences daily apparitions of the Virgin Mary, attracting millions of pilgrims."
Botswana,Botswana,,"Botswana ?? - Botswana has the world's largest elephant population, with over 130,000 elephants."
Br. Indian Ocean Ter.,,,
Brazil,Brazil,,"Brazil ?? - The Amazon River, which flows mostly through Brazil, releases so much freshwater that it dilutes the Atlantic Ocean's saltiness up to 160 kilometers offshore."
British Virgin Is.,,,
Brunei,Brunei,,"Brunei ?? - Brunei's Sultan has one of the world's largest car collections, with over 7,000 vehicles."
Bulgaria,Bulgaria,,"Bulgaria ?? - Bulgaria produces 70% of the world's rose oil, making it the global capital of rose oil production."
Burkina Faso,Burkina,,"Burkina Faso ?? - Burkina Faso hosts Africa's largest film festival, FESPACO, held every two years."
Burundi,Burundi,,"Burundi ?? - Burundi's traditional drummers are world-famous, with their performances recognized by UNESCO."
Cabo Verde,Cape Verde,,"Cape Verde ?? - Cape Verde gave birth to the musical genre ""morna,"" made internationally famous by singer Cesária Évora."
Cambodia,Cambodia,,Cambodia ??? - Angkor Wat in Cambodia is the largest religious monument in the world.
Cameroon,Cameroon,,Cameroon ??? - Mount Cameroon is one of Africa's most active volcanoes and the highest peak in West Africa.
Canada,Canada,,"Canada ?? - Canada has more lakes than all other countries combined, with over 2 million lakes covering about 8% of its land."
Cayman Is.,,,
Central African Rep.,Central African Republic,,"Central African Republic ?? - The CAR is home to over 1,000 species of butterflies."
Chad,Chad,,"Chad ??? - Chad's Ennedi Plateau contains thousands of rock art paintings dating back 7,000 years."
Chile,Chile,,Chile ?? - Chile's Atacama Desert is the driest non-polar desert on Earth and one of the best places for stargazing.
China,China,,"China ?? - China invented paper, printing, gunpowder, and the compass—known as the Four Great Inventions that changed world history."
Colombia,Colombia,,"Colombia ?? - Colombia has more bird species than any other country, with over 1,900 species recorded."
Comoros,Comoros,,"Comoros ?? - The Comoros is home to the coelacanth, a ""living fossil"" fish thought extinct for 65 million years until rediscovered in 1938."
Congo,Republic of the Congo,,Republic of the Congo ?? - The Republic of the Congo is home to significant populations of western lowland gorillas.
Cook Is.,,,
Costa Rica,Costa Rica,,Costa Rica ?? - Costa Rica has no standing army since 1949 and invests heavily in education and environmental conservation.
Croatia,Croatia,,Croatia ?? - The Dalmatian dog breed originates from Croatia's Dalmatia region.
Cuba,Cuba,,Cuba ?? - Cuba has one of the highest doctor-to-patient ratios in the world and exports medical professionals globally.
CuraÃ§ao,,,
Cyprus,Cyprus,,"Cyprus ?? - Cyprus produces halloumi cheese, which has been made on the island for centuries and doesn't melt when grilled."
Czechia,Czech Republic,,Czech Republic ?? - The Czech Republic has the highest beer consumption per capita in the world.
CÃ´te d'Ivoire,Ivory Coast,,Ivory Coast ?? - Ivory Coast produces about 40% of the world's cocoa beans.
Dem. Rep. Congo,Democratic Republic of Congo,,"Democratic Republic of Congo ?? - The DRC is home to the endangered mountain gorilla and the okapi, a relative of the giraffe."
Denmark,Denmark,,"Denmark ?? - Copenhagen has more bicycles than cars, and Danes cycle an average of 1.6 kilometers per day."
Djibouti,Djibouti,,Djibouti ?? - Djibouti's Lake Assal is the lowest point in Africa and one of the saltiest bodies of water on Earth.
Dominica,Dominica,,"Dominica ?? - Dominica is home to a year-round population of sperm whales and is known as the ""whale watching capital of the Caribbean."""
Dominican Rep.,Dominican Republic,,Dominican Republic ? - The Dominican Republic has produced more Major League Baseball players per capita than any other country.
Ecuador,Ecuador,,Ecuador ?? - Ecuador's Galápagos Islands inspired Charles Darwin's theory of evolution.
Egypt,Egypt,,"Egypt ?? - The Great Pyramid of Giza was the tallest man-made structure for over 3,800 years."
El Salvador,El Salvador,,El Salvador ?? - El Salvador is the smallest country in Central America but has over 300 kilometers of Pacific coastline.
Eq. Guinea,Equatorial Guinea,,Equatorial Guinea ?? - Equatorial Guinea is the only African country with Spanish as an official language.
Eritrea,Eritrea,,Eritrea ?? - Eritrea has a historic Italian-built railway with steam trains still operating from the 1930s.
Estonia,Estonia,,"Estonia ?? - Estonia was the first country to offer e-Residency, allowing global digital entrepreneurship."
Ethiopia,Ethiopia,,"Ethiopia ? - Coffee originated in Ethiopia, where it was first discovered in the Kaffa region."
Faeroe Is.,,,
Falkland Is.,,,
Fiji,Fiji,,"Fiji ?? - Fiji is home to the world's first and only firewalking ceremony on hot stones, practiced for centuries."
Finland,Finland,,"Finland ?? - Finland has more saunas than cars, with over 3 million saunas for 5.5 million people."
Fr. Polynesia,,,
Fr. S. Antarctic Lands,,,
France,France,,"France ?? - France is the most visited country in the world, receiving over 89 million international tourists annually."
Gabon,Gabon,,"Gabon ?? - Gabon has set aside over 11% of its territory as national parks, protecting forest elephants and other wildlife."
Gambia,Gambia,,Gambia ?? - The Gambia is almost entirely surrounded by Senegal and is Africa's smallest mainland country.
Georgia,Georgia,,"Georgia ?? - Georgia has an 8,000-year-old winemaking tradition, making it the birthplace of wine."
Germany,Germany,,"Germany ?? - Germany has over 25,000 castles, more than any other country."
Ghana,Ghana,,"Ghana ?? - Ghana's Ashanti Kingdom has maintained its royal traditions, and the Golden Stool remains a powerful symbol."
Greece,Greece,,Greece ??? - Greece has more archaeological museums than any other country in the world.
Greenland,,,
Grenada,Grenada,,"Grenada ?? - Grenada is known as the ""Spice Isle"" and produces nearly one-third of the world's nutmeg."
Guam,,,
